coef,p,model,formula,model_number,sig
0.02077306532408871,0.44242411651343905,logit,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q81_n,95,FALSE
0.022186749690222933,0.15784175945002962,logit,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,96,FALSE
0.022828141227987507,0.11077439172673306,logit,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,97,FALSE
0.02450321219260829,0.04366644284484893,logit,q25_n ~ q80_n + q81_n + q79 + q42 + q80_n * q79,98,TRUE
0.02547712623568562,0.0013062689631586155,logit,q26_n ~ q80_n + q81_n + q79 + qhallucdrug,99,TRUE
0.027690464441549312,1.961005459230497e-6,logit,q25_n ~ q80_n + q81_n + q79,100,TRUE
0.02870374528683168,0.027944287783571838,logit,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,101,TRUE
0.02912336729756627,0.0703996534660903,logit,q26_n ~ q80_n + q81_n + q79 + q80_n * q81_n,102,FALSE
0.030183480484668384,0.019582445250907052,logit,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,103,TRUE
0.0304509699441144,6.469938184295387e-5,logit,q26_n ~ q80_n + q81_n + q79 + q42,104,TRUE
0.030870274655218424,5.054490084303309e-5,logit,q27_n ~ q80_n + q81_n + q79,105,TRUE
0.03216580467663469,0.005845979814053177,logit,q25_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,106,TRUE
0.032519420760737223,0.02026569303236379,logit,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,107,TRUE
0.032679485768029835,0.005612693109745661,logit,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,108,TRUE
0.03343984336509569,7.798602182669778e-5,logit,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,109,TRUE
0.033677552741845036,2.6852528644999444e-7,logit,q25_n ~ q80_n + q81_n + q79 + qhallucdrug,110,TRUE
0.03539445020952234,0.08697205586947704,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,111,FALSE
0.03679857744000478,4.06765137892161e-9,logit,q25_n ~ q80_n + q81_n + q79 + q42,112,TRUE
0.038035771621085714,0.20184299474781472,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,113,FALSE
0.040835017877207815,8.943805269269285e-5,logit,q25_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,114,TRUE
0.04125161405029734,3.6267932671324125e-9,logit,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,115,TRUE
0.04128185761864062,1.3868338068161508e-6,logit,q27_n ~ q80_n + q81_n + q79 + qhallucdrug,116,TRUE
0.044716807041230794,5.7581865613574936e-8,logit,q27_n ~ q80_n + q81_n + q79 + q42,117,TRUE
0.05003941550615692,4.5345282961710446e-8,logit,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug,118,TRUE
0.0507423507455638,4.7864998385242366e-5,logit,q26_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,119,TRUE
0.05426458253845198,0.004980317456165639,logit,q27_n ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,120,TRUE
0.05689421928141361,1.653640003559332e-4,logit,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,121,TRUE
0.060759449510511515,1.0627661371619466e-5,logit,q27_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,122,TRUE
0.06340450929460487,5.654572259630265e-4,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q42,123,TRUE
0.06590578243717865,1.1950405586651713e-5,logit,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q42,124,TRUE
0.06844289308475868,1.0736734877044706e-4,logit,q27_n ~ q80_n + q81_n + q79 + q80_n * q81_n,125,TRUE
0.0740588889119467,0.004864489421662514,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,126,TRUE
0.08085356925275629,1.7739558338580576e-9,logit,q27_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,127,TRUE
0.08717213972959341,2.0192085286743978e-4,logit,q28_nd ~ q80_n + q81_n + q79 + q80_n * q81_n,128,TRUE
